                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0418,                 4.4597,                 3.2907,                 1.3837,                0.01419,                0.92463,                0.21825,                0.11443,                0.01333,                0.89522,                0.13974,                0.08007,                0.88282,                  2.858,                 3.4079,                  1.271,              6.666e-05,              6.666e-05,              6.666e-05
                      2,                0.84332,                 3.1058,                 3.2602,                 1.2772,                0.01465,                0.90993,                0.21277,                0.11589,                0.01465,                0.90993,                0.14159,                  0.077,                0.77621,                 2.6931,                 3.3697,                 1.1898,             0.00014372,             0.00014372,             0.00014372
                      3,                0.92564,                 2.5373,                 3.2087,                 1.3538,                0.01475,                0.90993,                0.21701,                0.12891,                0.01417,                0.89522,                0.20171,                 0.1109,                0.74707,                 2.5103,                 3.3491,                 1.1313,                0.00022,                0.00022,                0.00022
                      4,                0.71395,                 2.2963,                 2.9882,                 1.2047,                0.01534,                0.90993,                0.21963,                0.12183,                0.01466,                0.89522,                0.20141,                0.12534,                0.74013,                 2.4118,                 3.3328,                 1.1194,             0.00029552,             0.00029552,             0.00029552
                      5,                0.72271,                 1.9138,                 2.8608,                 1.2116,                 0.0195,                0.85993,                0.21886,                0.14896,                0.01842,                0.84522,                0.20032,                 0.1459,                0.77721,                 2.4171,                 3.3221,                 1.0964,             0.00037026,             0.00037026,             0.00037026
                      6,                0.77377,                 1.8115,                 2.6594,                 1.2712,                0.02284,                0.85993,                0.24374,                 0.1663,                0.02152,                0.84522,                0.20806,                 0.1472,                0.81735,                 2.4945,                 3.2957,                 1.1606,             0.00044424,             0.00044424,             0.00044424
                      7,                 0.8238,                 1.7806,                 2.5205,                 1.2719,                0.02284,                0.85993,                0.24374,                 0.1663,                0.02152,                0.84522,                0.20806,                 0.1472,                0.81735,                 2.4945,                 3.2957,                 1.1606,             0.00051744,             0.00051744,             0.00051744
                      8,                0.91241,                 2.0391,                 2.4661,                 1.3705,                0.02328,                0.85993,                0.22257,                 0.1448,                0.02193,                0.84522,                0.18241,                 0.1191,                 1.0512,                 2.8199,                 3.2239,                 1.3476,             0.00058988,             0.00058988,             0.00058988
                      9,                0.97456,                 2.0189,                 2.4565,                 1.4654,                0.93995,                0.09342,                0.22415,                0.14193,                0.91689,                0.08862,                0.17431,                0.12396,                 1.0058,                 2.7626,                 2.9647,                 1.3443,             0.00066154,             0.00066154,             0.00066154
                     10,                0.89521,                 1.6217,                 2.2627,                  1.378,                0.93995,                0.09342,                0.22415,                0.14193,                0.91689,                0.08862,                0.17431,                0.12396,                 1.0058,                 2.7626,                 2.9647,                 1.3443,             0.00073244,             0.00073244,             0.00073244
                     11,                 0.9775,                 1.7151,                 2.2715,                 1.4185,                0.73203,                0.17831,                0.21981,                0.15507,                0.71973,                 0.1636,                0.20933,                0.14656,                 0.9598,                 2.8098,                 2.7021,                 1.3805,             0.00080256,             0.00080256,             0.00080256
                     12,                0.89277,                  1.776,                 2.2138,                  1.345,                0.73203,                0.17831,                0.21981,                0.15507,                0.71973,                 0.1636,                0.20933,                0.14656,                 0.9598,                 2.8098,                 2.7021,                 1.3805,             0.00087192,             0.00087192,             0.00087192
                     13,                0.96884,                 2.0004,                 2.2178,                 1.4179,                0.22498,                0.49363,                0.28428,                0.18014,                0.22498,                0.49363,                0.28135,                0.16254,                 1.0673,                 3.1891,                 3.8579,                    1.4,             0.00094051,             0.00094051,             0.00094051
                     14,                 0.9838,                 2.0052,                  2.232,                 1.4258,                0.22498,                0.49363,                0.28428,                0.18014,                0.22498,                0.49363,                0.28135,                0.16254,                 1.0673,                 3.1891,                 3.8579,                    1.4,              0.0010083,              0.0010083,              0.0010083
                     15,                 1.0184,                 1.9116,                 2.1044,                 1.4294,                 0.1352,                0.46213,                 0.1911,                 0.1292,                0.13607,                0.46213,                0.19361,                0.12001,                 1.0375,                 3.0875,                 4.6219,                 1.3383,               0.001034,               0.001034,               0.001034
                     16,                 1.0855,                 2.3228,                 2.2142,                 1.4741,                 0.1352,                0.46213,                 0.1911,                 0.1292,                0.13607,                0.46213,                0.19361,                0.12001,                 1.0375,                 3.0875,                 4.6219,                 1.3383,              0.0010285,              0.0010285,              0.0010285
                     17,                 1.0001,                 2.2336,                 2.1408,                 1.4005,                0.13498,                0.36779,                0.19877,                0.13315,                0.16086,                0.32199,                0.24079,                0.12157,                 1.2556,                 2.7564,                 4.4381,                  1.483,               0.001023,               0.001023,               0.001023
