                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4524,                 5.4722,                  2.972,                 1.8123,                0.01006,                      1,                0.12276,                0.04705,                0.01006,                      1,                0.16989,                0.04533,                 1.1165,                 3.3332,                 3.1747,                 1.7936,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 1.3174,                 4.6821,                 2.8741,                 1.7024,                0.00989,                      1,                0.12102,                 0.0572,                0.00874,                0.83333,                0.10969,                0.04177,                 1.1564,                 3.4763,                 3.2193,                 1.7587,             8.2937e-05,             8.2937e-05,             8.2937e-05
                      3,                 1.1574,                 3.8257,                 2.9081,                 1.5226,                0.00985,                      1,                0.15177,                0.07039,                0.00868,                0.83333,                0.14129,                0.05299,                 1.2145,                  3.698,                 3.2314,                 1.8474,             0.00013204,             0.00013204,             0.00013204
                      4,                 1.1483,                 3.6115,                 2.8219,                 1.6518,                0.00985,                      1,                0.28105,                 0.1285,                0.00985,                      1,                0.44604,                0.10161,                 1.2741,                 4.1461,                 3.2239,                 1.9104,             0.00018065,             0.00018065,             0.00018065
                      5,                 1.0219,                 3.1759,                  2.782,                 1.5191,                0.00978,                      1,                0.25823,                0.11908,                0.00978,                      1,                0.34889,                0.08155,                 1.1801,                 3.9851,                 3.2624,                 1.9981,             0.00022876,             0.00022876,             0.00022876
                      6,                 1.1842,                 3.0824,                 2.6936,                 1.5933,                0.00976,                      1,                0.25371,                0.11619,                0.00976,                      1,                0.31042,                0.07745,                 1.1852,                 3.9625,                 3.2715,                 2.0976,             0.00027638,             0.00027638,             0.00027638
                      7,                  1.214,                 3.1531,                  2.704,                 1.6025,                0.00974,                      1,                0.20253,                0.08317,                0.00847,                0.83333,                0.25897,                0.06194,                 1.2922,                  4.273,                 3.2403,                 2.1885,              0.0003235,              0.0003235,              0.0003235
                      8,                 1.0668,                  3.367,                 2.5832,                 1.5712,                0.00972,                      1,                  0.241,                 0.0822,                0.00972,                      1,                0.20652,                 0.0581,                 1.3174,                 4.2161,                 3.2046,                 2.2547,             0.00037012,             0.00037012,             0.00037012
                      9,                 1.1398,                 3.1614,                 2.5814,                 1.6749,                0.00972,                      1,                  0.241,                 0.0822,                0.00972,                      1,                0.20652,                 0.0581,                 1.3174,                 4.2161,                 3.2046,                 2.2547,             0.00041626,             0.00041626,             0.00041626
                     10,                 1.0982,                 2.6723,                 2.4684,                 1.5125,                0.00974,                      1,                0.19827,                0.07811,                0.00974,                      1,                0.19871,                0.05793,                 1.2952,                 4.2359,                 3.2309,                 2.2073,             0.00046189,             0.00046189,             0.00046189
                     11,                 1.1275,                 2.6229,                 2.3873,                 1.5448,                0.00974,                      1,                0.19827,                0.07811,                0.00974,                      1,                0.19871,                0.05793,                 1.2952,                 4.2359,                 3.2309,                 2.2073,             0.00050703,             0.00050703,             0.00050703
                     12,                 1.1118,                 2.8292,                 2.2239,                 1.6483,                0.00998,                      1,                0.16573,                0.07736,                0.00998,                      1,                0.35222,                0.06563,                 1.4611,                 4.9255,                 3.2811,                 2.2362,             0.00055168,             0.00055168,             0.00055168
                     13,                0.99784,                  1.955,                 2.0525,                 1.4994,                0.00998,                      1,                0.16573,                0.07736,                0.00998,                      1,                0.35222,                0.06563,                 1.4611,                 4.9255,                 3.2811,                 2.2362,             0.00059583,             0.00059583,             0.00059583
                     14,                 1.0438,                 2.3916,                 2.1262,                 1.5506,                0.01032,                      1,                0.42278,                0.17712,                0.00873,                0.83333,                0.46896,                0.14048,                 1.6258,                 6.2239,                  3.274,                 2.2934,             0.00063949,             0.00063949,             0.00063949
                     15,                 1.0026,                  2.028,                 2.0793,                 1.5178,                0.01032,                      1,                0.42278,                0.17712,                0.00873,                0.83333,                0.46896,                0.14048,                 1.6258,                 6.2239,                  3.274,                 2.2934,             0.00068265,             0.00068265,             0.00068265
                     16,                 1.1838,                 2.3816,                  2.291,                 1.6771,                0.01032,                      1,                0.42278,                0.17712,                0.00873,                0.83333,                0.46896,                0.14048,                 1.6258,                 6.2239,                  3.274,                 2.2934,             0.00072532,             0.00072532,             0.00072532
                     17,                 1.0104,                 1.9232,                 1.8415,                 1.4809,                0.00662,                0.66667,                0.27076,                0.14414,                 0.0023,                   0.25,                0.17975,                0.06908,                 1.7709,                 7.9312,                 3.3034,                 2.2274,             0.00076749,             0.00076749,             0.00076749
                     18,                0.98085,                 2.2315,                 1.9084,                 1.5031,                0.00662,                0.66667,                0.27076,                0.14414,                 0.0023,                   0.25,                0.17975,                0.06908,                 1.7709,                 7.9312,                 3.3034,                 2.2274,             0.00080916,             0.00080916,             0.00080916
                     19,                  1.043,                 1.9951,                  1.934,                 1.4948,                0.00662,                0.66667,                0.27076,                0.14414,                 0.0023,                   0.25,                0.17975,                0.06908,                 1.7709,                 7.9312,                 3.3034,                 2.2274,             0.00085034,             0.00085034,             0.00085034
                     20,                0.87155,                 1.9008,                  1.806,                 1.4156,                0.38568,                0.28561,                0.31579,                0.19941,                0.38568,                0.28561,                0.30617,                0.16397,                   1.71,                 4.5243,                  2.876,                 2.3328,             0.00089103,             0.00089103,             0.00089103
                     21,                  1.176,                 1.8093,                   1.93,                 1.6888,                0.38568,                0.28561,                0.31579,                0.19941,                0.38568,                0.28561,                0.30617,                0.16397,                   1.71,                 4.5243,                  2.876,                 2.3328,             0.00093122,             0.00093122,             0.00093122
                     22,                 1.1981,                 1.9721,                 1.9537,                  1.615,                0.38568,                0.28561,                0.31579,                0.19941,                0.38568,                0.28561,                0.30617,                0.16397,                   1.71,                 4.5243,                  2.876,                 2.3328,             0.00097091,             0.00097091,             0.00097091
                     23,                 1.1297,                 2.3064,                 1.8645,                 1.5898,                0.38568,                0.28561,                0.31579,                0.19941,                0.38568,                0.28561,                0.30617,                0.16397,                   1.71,                 4.5243,                  2.876,                 2.3328,              0.0010101,              0.0010101,              0.0010101
                     24,                  1.134,                 1.9561,                 1.8455,                 1.5594,                0.36275,                0.59538,                0.38163,                0.21523,                0.60251,                0.41296,                0.49136,                  0.187,                 1.6933,                 3.4615,                 2.9045,                 2.4091,              0.0010488,              0.0010488,              0.0010488
                     25,                  1.053,                 1.5115,                 1.8735,                 1.4699,                0.36275,                0.59538,                0.38163,                0.21523,                0.60251,                0.41296,                0.49136,                  0.187,                 1.6933,                 3.4615,                 2.9045,                 2.4091,               0.001087,               0.001087,               0.001087
                     26,                 1.1974,                 2.1662,                 2.0726,                  1.632,                0.36275,                0.59538,                0.38163,                0.21523,                0.60251,                0.41296,                0.49136,                  0.187,                 1.6933,                 3.4615,                 2.9045,                 2.4091,              0.0011247,              0.0011247,              0.0011247
                     27,                 1.2049,                 2.0194,                 2.1897,                 1.6448,                0.36275,                0.59538,                0.38163,                0.21523,                0.60251,                0.41296,                0.49136,                  0.187,                 1.6933,                 3.4615,                 2.9045,                 2.4091,               0.001162,               0.001162,               0.001162
                     28,                 1.1204,                  1.997,                 1.8719,                 1.5363,                0.36275,                0.59538,                0.38163,                0.21523,                0.60251,                0.41296,                0.49136,                  0.187,                 1.6933,                 3.4615,                 2.9045,                 2.4091,              0.0011987,              0.0011987,              0.0011987
                     29,                 1.0941,                 1.7112,                 1.9967,                 1.5856,                0.48056,                   0.75,                0.57584,                0.25739,                0.42838,                0.66667,                0.54771,                 0.2083,                 1.8634,                 5.0448,                 9.8606,                 2.5243,              0.0012349,              0.0012349,              0.0012349
                     30,                 1.0568,                 2.0813,                 1.7673,                 1.5488,                0.48056,                   0.75,                0.57584,                0.25739,                0.42838,                0.66667,                0.54771,                 0.2083,                 1.8634,                 5.0448,                 9.8606,                 2.5243,              0.0012707,              0.0012707,              0.0012707
                     31,                 1.0861,                 2.1354,                 1.9057,                 1.5388,                0.48056,                   0.75,                0.57584,                0.25739,                0.42838,                0.66667,                0.54771,                 0.2083,                 1.8634,                 5.0448,                 9.8606,                 2.5243,              0.0013059,              0.0013059,              0.0013059
                     32,                 1.2335,                 2.2552,                 2.1702,                 1.6575,                0.48056,                   0.75,                0.57584,                0.25739,                0.42838,                0.66667,                0.54771,                 0.2083,                 1.8634,                 5.0448,                 9.8606,                 2.5243,              0.0013406,              0.0013406,              0.0013406
