                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                  1.098,                 2.2104,                 2.0629,                 1.4787,                0.29799,                0.38272,                0.33987,                0.19419,                0.30229,                0.39743,                0.36258,                0.22344,                 1.2805,                 3.1694,                 2.8701,                 1.6017,              0.0010857,              0.0010857,              0.0010857
                     25,                 1.1124,                 2.0297,                 2.0257,                 1.5081,                0.29799,                0.38272,                0.33987,                0.19419,                0.30229,                0.39743,                0.36258,                0.22344,                 1.2805,                 3.1694,                 2.8701,                 1.6017,              0.0010846,              0.0010846,              0.0010846
                     26,                 1.0387,                 1.8398,                 1.9329,                 1.4042,                0.46539,                0.39743,                0.45929,                0.26492,                0.46539,                0.39743,                0.45137,                0.25896,                 1.1557,                 2.5477,                 3.2246,                 1.4579,              0.0010835,              0.0010835,              0.0010835
                     27,                 1.0303,                 1.6699,                 1.8298,                 1.4314,                0.46539,                0.39743,                0.45929,                0.26492,                0.46539,                0.39743,                0.45137,                0.25896,                 1.1557,                 2.5477,                 3.2246,                 1.4579,              0.0010824,              0.0010824,              0.0010824
                     28,                 1.2087,                 1.8101,                  1.988,                 1.5551,                0.46539,                0.39743,                0.45929,                0.26492,                0.46539,                0.39743,                0.45137,                0.25896,                 1.1557,                 2.5477,                 3.2246,                 1.4579,              0.0010813,              0.0010813,              0.0010813
                     29,                  1.045,                 1.9146,                 1.9012,                  1.402,                0.25165,                0.46213,                0.41608,                0.25284,                0.25165,                0.46213,                0.40338,                0.21005,                 1.1577,                 2.5177,                 3.3631,                 1.5537,              0.0010802,              0.0010802,              0.0010802
                     30,                 1.0443,                 1.9111,                 1.7888,                 1.3918,                0.25165,                0.46213,                0.41608,                0.25284,                0.25165,                0.46213,                0.40338,                0.21005,                 1.1577,                 2.5177,                 3.3631,                 1.5537,              0.0010791,              0.0010791,              0.0010791
                     31,                 1.0659,                 1.8781,                 1.8463,                 1.3938,                0.24015,                0.41434,                0.41509,                0.21929,                0.62008,                0.31838,                0.36593,                0.19486,                 1.3715,                 3.0184,                  3.017,                 1.7535,               0.001078,               0.001078,               0.001078
                     32,                  1.097,                 1.8121,                 1.8141,                  1.446,                0.24015,                0.41434,                0.41509,                0.21929,                0.62008,                0.31838,                0.36593,                0.19486,                 1.3715,                 3.0184,                  3.017,                 1.7535,              0.0010769,              0.0010769,              0.0010769
                     33,                 1.0026,                 1.5067,                 1.7393,                  1.383,                0.69327,                0.47437,                0.44003,                0.26008,                0.69327,                0.47437,                0.45362,                0.25672,                 1.3131,                 2.7972,                  2.795,                 1.6802,              0.0010758,              0.0010758,              0.0010758
                     34,                 1.1096,                 1.6271,                 1.8705,                 1.4423,                0.69327,                0.47437,                0.44003,                0.26008,                0.69327,                0.47437,                0.45362,                0.25672,                 1.3131,                 2.7972,                  2.795,                 1.6802,              0.0010747,              0.0010747,              0.0010747
